;ISO;Cql;Ie;Iec;Is
Albania;ALB;0,97392353;0,605347614;0,538672856;0,510112666
Algeria;DZA;0,782134498;0,58721932;0,348159396;0,497985576
Angola;AGO;0,372343539;0,27439361;0,332117384;0,346906645
Argentina;ARG;0,883830062;0,699685109;0,28199471;0,518820368
Armenia;ARM;1,016498793;0,718326882;0,535647909;0,486498047
Australia;AUS;1,457611163;0,791517131;0,721154637;0,692414115
Austria;AUT;1,393557395;0,771155098;0,640078065;0,698254396
Azerbaijan;AZE;0,917248997;0,748253484;0,473427808;0,425163807
Bangladesh;BGD;0,401041179;0,194277082;0,38488054;0,386034792
Barbados;BRB;1,022513868;0,357017023;0,559189396;0,605988529
Belarus;BLR;0,938380915;0,726631951;0,325924302;0,534344825
Belgium;BEL;1,287539418;0,696510471;0,610618642;0,652020465
Belize;BLZ;0,905604146;0,628041708;0,41642423;0,533745687
Benin;BEN;0,555242251;0,195952698;0,446742279;0,4482957
Bhutan;BTN;0,810333702;0,467660819;0,427753994;0,53297148
Bolivia, Plurinational State of;BOL;0,762793587;0,577909263;0,319821787;0,496526725
Bosnia and Herzegovina;BIH;0,782466104;0,423962172;0,436533876;0,526861055
Botswana;BWA;1,036815304;0,570390049;0,585593262;0,530270803
Brazil;BRA;0,935369439;0,703757476;0,442173004;0,504225481
Bulgaria;BGR;1,135626666;0,734293028;0,555902172;0,554502924
Burkina faso;BFA;0,451915647;0,195261418;0,419851991;0,392419696
Cambodia;KHM;0,56078017;0,281827634;0,44544408;0,425240848
Cameroon;CMR;0,477508046;0,362510386;0,369904225;0,364636639
Canada;CAN;1,405515053;0,764215577;0,737761434;0,637167113
Cape verde;CPV;0,937902871;0,286038592;0,540261529;0,581518507
Central african republic;CAF;0,293978537;0,225782142;0,306019791;0,281526245
Chile;CHL;1,325461056;0,683625427;0,676489195;0,640436516
China;CHN;0,882542282;0,498997092;0,533855749;0,493696031
Colombia;COL;1,052444353;0,672805291;0,617207289;0,458186422
Congo, Republic of the;COG;0,469033063;0,397236784;0,295315331;0,375693165
Costa Rica;CRI;1,186040478;0,715013399;0,556585155;0,600607928
Cote d`Ivoire;CIV;0,579128928;0,400396887;0,434482881;0,378076474
Croatia;HRV;1,111700218;0,765907745;0,477131403;0,576451249
Cyprus;CYP;1,163865969;0,696643125;0,563335969;0,586938065
Czech Republic;CZE;1,305630118;0,749433908;0,645761604;0,612366371
Denmark;DNK;1,44115126;0,8036729;0,679000806;0,698136569
Dominican Republic;DOM;0,850324005;0,658700812;0,463126926;0,443709079
Ecuador;ECU;0,733954308;0,52987223;0,337090521;0,49702579
Egypt;EGY;0,660874068;0,495545246;0,397526425;0,438101029
El Salvador;SLV;0,837293743;0,54796119;0,528115608;0,431065866
Estonia;EST;1,326365639;0,798270239;0,66100326;0,594484697
Ethiopia;ETH;0,419878108;0,216806252;0,374201248;0,404491485
Fiji;FJI;0,967840597;0,630676985;0,443494536;0,559096651
Finland;FIN;1,397621458;0,822360931;0,634744967;0,671395138
France;FRA;1,309039684;0,794504727;0,593240107;0,634038737
Gambia;GMB;0,473800036;0,296140019;0,400096493;0,384059935
Georgia;GEO;1,08194889;0,464380994;0,614097354;0,575189748
Germany;DEU;1,436559425;0,748135239;0,767174105;0,664004314
Ghana;GHA;0,74485509;0,383348046;0,492460817;0,478943249
Greece;GRC;1,020541331;0,761376549;0,388897083;0,555756491
Guatemala;GTM;0,768289097;0,550602696;0,458027028;0,447834792
Guinea;GIN;0,463615082;0,333891071;0,363257397;0,383873677
Guyana;GUY;0,704309262;0,565770133;0,396429738;0,427763417
Honduras;HND;0,683975278;0,553706689;0,415515986;0,393020618
Hungary;HUN;1,123657643;0,731959896;0,5644311;0,539956834
Iceland;ISL;1,354994763;0,819964535;0,630007548;0,631824056
India;IND;0,640777312;0,330549342;0,450680986;0,4628844
Indonesia;IDN;0,764900836;0,493348817;0,458421385;0,476951443
Iran;IRN;0,643049798;0,476733056;0,277847507;0,475942384
Ireland;IRL;1,366730975;0,790791212;0,664097405;0,632839
Israel;ISR;1,144804623;0,680358578;0,624674926;0,531802133
Italy;ITA;1,184719373;0,745881589;0,554416095;0,586694151
Jamaica;JAM;1,009641788;0,663061309;0,548392592;0,500331119
Japan;JPN;1,423173641;0,718326882;0,785976304;0,656614707
Jordan;JOR;1,044630769;0,568235563;0,572934213;0,546969051
Kazakhstan;KAZ;0,873300285;0,600840551;0,507662736;0,460043217
Kenya;KEN;0,617946436;0,441059753;0,402312083;0,431678853
Korea, Republic of;KOR;1,289812648;0,577603038;0,71323434;0,629806993
Kyrgyzstan;KGZ;0,852687094;0,606097075;0,48003311;0,467030464
Laos;LAO;0,43431689;0,264632786;0,373715577;0,39287151
Latvia;LVA;1,201207878;0,773912332;0,593052856;0,555769213
Lebanon;LBN;0,790874048;0,502135226;0,443186541;0,501124904
Lesotho;LSO;0,40186167;0,223922488;0,323219738;0,418780178
Lithuania;LTU;1,284120981;0,761490559;0,643758871;0,589677064
Luxembourg;LUX;1,332349711;0,778058122;0,641951458;0,624375287
Macedonia, the former Yugoslav Republic of;MKD;0,990445066;0,640416738;0,542355577;0,502428088
Madagascar;MDG;0,550649572;0,133765021;0,471264516;0,431160988
Malawi;MWI;0,51215927;0,255932853;0,386403202;0,448943088
Malaysia;MYS;1,159998983;0,650042163;0,620685616;0,559946909
Mali;MLI;0,415148895;0,173030663;0,407254538;0,380865025
Malta;MLT;1,230355781;0,814622774;0,553507422;0,588330554
Mauritius;MUS;1,167779663;0,590713916;0,642814842;0,572971014
Mexico;MEX;0,942242932;0,611627371;0,577123067;0,429128511
Moldova, Republic of;MDA;0,905752325;0,644597381;0,404696001;0,531288455
Mongolia;MNG;0,792789606;0,508097012;0,442320723;0,500443146
Montenegro;MNE;1,079488864;0,668090463;0,515027649;0,574403582
Morocco;MAR;0,872070645;0,623043241;0,461646114;0,488443955
Mozambique;MOZ;0,415970776;0,177658924;0,388332956;0,403991498
Namibia;NAM;0,859103286;0,57607102;0,447985816;0,511072929
Nepal;NPL;0,466247958;0,275770333;0,367256973;0,421020336
Netherlands;NLD;1,37020132;0,738193098;0,689534232;0,646743959
New Zealand;NZL;1,427048578;0,812910668;0,701622402;0,654465578
Nicaragua;NIC;0,669809442;0,470474336;0,429014114;0,437081432
Niger;NER;0,41720599;0,139615306;0,391504159;0,413859497
Nigeria;NGA;0,553158449;0,376251913;0,419307892;0,391176672
Norway;NOR;1,394097768;0,793580953;0,639834846;0,68243411
Oman;OMN;0,998860522;0,40235732;0,560009574;0,57878568
Pakistan;PAK;0,454760936;0,298500259;0,400801946;0,348361086
Panama;PAN;1,016514761;0,695580976;0,521372549;0,512562984
Paraguay;PRY;0,868039103;0,559437874;0,477991331;0,504668717
Peru;PER;1,020736098;0,602344845;0,57684687;0,512474808
Philippines;PHL;0,857102026;0,618759011;0,5055238;0,431115348
Poland;POL;1,235350023;0,703495709;0,597072899;0,613168325
Portugal;PRT;1,236000008;0,802978771;0,541206553;0,608378113
Romania;ROU;1,121997137;0,729366115;0,553959451;0,548299848
Russian Federation;RUS;0,873680677;0,740852869;0,412325693;0,442701434
Rwanda;RWA;0,740449314;0,276146544;0,533692959;0,467049784
Saudi arabia;SAU;0,952022484;0,559437874;0,540536887;0,51275223
Senegal;SEN;0,738277603;0,472663933;0,421115338;0,492399446
Serbia;SRB;0,989110901;0,658841898;0,447979455;0,558604641
Seychelles;SYC;0,859416751;0,468911028;0,42156543;0,562375271
Sierra leone;SLE;0,414017855;0,2116297;0,359821121;0,412901913
Singapore;SGP;1,429509084;0,792137869;0,781235973;0,624388559
Slovakia;SVK;1,179284383;0,748371692;0,568746426;0,570425843
Slovenia;SVN;1,184931919;0,782896962;0,480904021;0,620522769
South Africa;ZAF;0,826200415;0,569005323;0,495922198;0,449210512
Spain;ESP;1,321426863;0,803177282;0,61332744;0,623656752
Sri Lanka;LKA;0,738941566;0,499153999;0,43154796;0,474983697
Swaziland;SWZ;0,637278369;0,411901105;0,44683075;0,424674548
Sweden;SWE;1,379450625;0,813006104;0,65570035;0,63911783
Switzerland;CHE;1,454858599;0,771155098;0,77026475;0,669772187
Syria;SYR;0,564706173;0,468129601;0,357781196;0,384253192
Tajikistan;TJK;0,734223439;0,594048025;0,36942065;0,451441966
Tanzania, United Republic of;TZA;0,612911398;0,371257223;0,431031134;0,442372044
Thailand;THA;0,879630994;0,537213553;0,530669441;0,476975313
United Kingdom;GBR;1,443573362;0,80906247;0,698265047;0,67946423
United States;USA;1,426584025;0,758169081;0,774110621;0,643449142
Uruguay;URY;1,198779297;0,612819394;0,568066795;0,648818585
Venezuela, Bolivarian Republic of;VEN;0,703459931;0,670452164;0,249923267;0,367243869
Viet Nam;VNM;0,553255653;0,371843431;0,39385414;0,423359346
Yemen;YEM;0,364579432;0,244049144;0,357659851;0,330743343
Zambia;ZMB;0,689322125;0,495702141;0,442525331;0,424261463